repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
15,Without,-1,"_",230.28,173259.86,4
28,Without,-1,"_",229.71,173686.83,4
3,Without,-1,"_",232.49,171608.39,4
9,Without,-1,"_",232.95,171276.08,4
21,Without,-1,"_",232.87,171329.37,4
25,Without,-1,"_",229.11,174145.92,4
27,Without,-1,"_",231.74,172167.68,4
16,Without,-1,"_",233.82,170631.59,4
12,Without,-1,"_",232.19,171833.48,4
0,Without,-1,"_",232.63,171506.16,4
23,Without,-1,"_",230.82,172851.36,4
2,Without,-1,"_",231.94,172020.86,4
5,Without,-1,"_",230.73,172917.07,4
17,Without,-1,"_",233.56,170825.45,4
7,Without,-1,"_",232.94,171279.61,4
20,Without,-1,"_",231.13,172620.67,4
29,Without,-1,"_",232.26,171783.08,4
22,Without,-1,"_",232.41,171671.04,4
6,Without,-1,"_",232.10,171898.30,4
11,Without,-1,"_",230.21,173313.67,4
13,Without,-1,"_",232.42,171666.36,4
4,Without,-1,"_",229.07,174170.74,4
26,Without,-1,"_",231.36,172451.73,4
1,Without,-1,"_",231.81,172114.63,4
10,Without,-1,"_",233.03,171216.03,4
8,Without,-1,"_",230.80,172865.03,4
19,Without,-1,"_",233.52,170857.12,4
14,Without,-1,"_",231.89,172055.38,4
24,Without,-1,"_",231.40,172421.76,4
18,Without,-1,"_",232.69,171463.91,4
